planner,num_agents,num_robots,f,d,active_time,planner_time,damage,num_disabled
StaticLinePlanner,100,10,1.1,5,183.2403863965391,0.006705760955810547,23886.186487548814,10
StaticLinePlanner,100,10,1.1,5,109.29518191316501,0.006971836090087891,23176.98391337957,10
StaticLinePlanner,100,10,1.1,5,189.23721317101607,0.006387948989868164,24127.475020683654,10
StaticLinePlanner,100,10,1.1,5,166.13485268505838,0.006300926208496094,23620.599739413326,13
StaticLinePlanner,100,10,1.1,5,172.4070225711474,0.006312131881713867,23544.718606256916,16
StaticLinePlanner,100,10,1.1,5,182.3749814375034,0.006357908248901367,23602.25779390245,5
StaticLinePlanner,100,10,1.1,5,166.0646909413863,0.006229877471923828,23438.96635692446,11
StaticLinePlanner,100,10,1.1,5,186.0220737899576,0.006212949752807617,23298.755035276197,19
StaticLinePlanner,100,10,1.1,5,204.32163136460213,0.006231069564819336,24197.118143092586,8
StaticLinePlanner,100,10,1.1,5,209.6191390330329,0.006063938140869141,23828.362589717133,19
StaticLinePlanner,100,10,1.1,5,186.36919568036322,0.0062139034271240234,23909.74068336839,11
StaticLinePlanner,100,10,1.1,5,144.98565815368696,0.006001949310302734,23311.233681293827,9
StaticLinePlanner,100,10,1.1,5,152.29474313717392,0.006114006042480469,23323.548573537268,9
StaticLinePlanner,100,10,1.1,5,209.040389624871,0.005942106246948242,23875.172836418566,13
StaticLinePlanner,100,10,1.1,5,176.8391345583085,0.006325960159301758,23118.396394161973,19
StaticLinePlanner,100,10,1.1,5,175.4992356205594,0.006663084030151367,23303.070730438565,15
StaticLinePlanner,100,10,1.1,5,194.75925644293937,0.006688117980957031,23165.653985063018,25
StaticLinePlanner,100,10,1.1,5,188.36620190370073,0.006763935089111328,24054.349047254895,8
StaticLinePlanner,100,10,1.1,5,175.16151460126594,0.006266117095947266,23232.03354981733,15
StaticLinePlanner,100,10,1.1,5,187.89239614398048,0.0068552494049072266,24010.421667480707,11
StaticLinePlanner,100,10,1.1,5,203.05887584220724,0.006536960601806641,23993.452060811756,15
StaticLinePlanner,100,10,1.1,5,159.80371284066894,0.006312131881713867,23096.125246769196,15
StaticLinePlanner,100,10,1.1,5,170.69343455950133,0.006522178649902344,23865.71586114817,10
StaticLinePlanner,100,10,1.1,5,158.79358251409886,0.0063018798828125,23191.073638570546,14
StaticLinePlanner,100,10,1.1,5,190.24347235914277,0.0063669681549072266,23744.736634456145,11
StaticLinePlanner,100,10,1.1,5,208.98063684779888,0.006329774856567383,23550.874311733256,17
StaticLinePlanner,100,10,1.1,5,129.55056784389222,0.006289958953857422,21767.872681775556,22
StaticLinePlanner,100,10,1.1,5,156.62442698536827,0.0062258243560791016,23593.13962819217,10
StaticLinePlanner,100,10,1.1,5,120.71115840517183,0.006326913833618164,23686.369739197617,8
StaticLinePlanner,100,10,1.1,5,179.34575388014022,0.006254911422729492,23842.199043112127,9
StaticLinePlanner,100,10,1.2,5,171.15059459291746,0.006648063659667969,22484.503421247868,24
StaticLinePlanner,100,10,1.2,5,155.93024059282638,0.007239818572998047,21963.481285985326,26
StaticLinePlanner,100,10,1.2,5,145.92499686128818,0.00745701789855957,22037.81731492428,23
StaticLinePlanner,100,10,1.2,5,130.71684760018155,0.006756782531738281,21908.980697218685,22
StaticLinePlanner,100,10,1.2,5,138.46935369570684,0.00740814208984375,21053.865970710674,31
StaticLinePlanner,100,10,1.2,5,148.7042591798122,0.007135152816772461,22021.045617712065,16
StaticLinePlanner,100,10,1.2,5,137.96445575935334,0.007382869720458984,22251.850431688636,18
StaticLinePlanner,100,10,1.2,5,103.59078902918091,0.007946014404296875,21393.175525870298,21
StaticLinePlanner,100,10,1.2,5,167.27331428669905,0.00800633430480957,22548.25207320315,21
StaticLinePlanner,100,10,1.2,5,136.8298509483178,0.007269144058227539,21093.093516110246,29
