planner,num_agents,num_robots,f,d,active_time,completion_time,planner_time,damage,num_disabled
StaticLinePlanner,300,17,2.0,3,77.86275238022185,146.0768295101994,0.0436403751373291,41971.00950388231,216
StaticLinePlanner,300,17,2.0,3,84.60945810248265,159.48266742656938,0.06291604042053223,42110.560126116456,234
StaticLinePlanner,300,17,2.0,3,75.26917952479941,143.07535146636093,0.052374839782714844,42683.71886555758,205
StaticLinePlanner,300,17,2.0,3,73.17512246995858,135.322046955602,0.07028508186340332,42531.37113963127,199
StaticLinePlanner,300,17,2.0,3,81.19944589882897,153.05264625237336,0.06180620193481445,44161.90780938144,208
StaticLinePlanner,300,17,2.0,3,79.8599765796582,149.5456412541016,0.062451839447021484,42727.67317719796,216
StaticLinePlanner,300,17,2.0,3,76.21201387119783,142.41820156525944,0.09201335906982422,43225.27848863254,203
StaticLinePlanner,300,17,2.0,3,75.0225471265515,145.02481829317415,0.08599972724914551,41968.95634676739,213
StaticLinePlanner,300,17,2.0,3,79.29606471744675,153.33104515995845,0.055289506912231445,40513.72459039544,233
StaticLinePlanner,300,17,2.0,3,73.75388929868328,136.60479215037316,0.06667757034301758,43694.84319208861,192
StaticLinePlanner,300,17,2.0,3,81.43616091318721,153.59981872111018,0.053917884826660156,42454.88525690647,220
StaticLinePlanner,300,17,2.0,3,77.09838936493156,149.15709043426472,0.06470537185668945,42085.89306981627,218
StaticLinePlanner,300,17,2.0,3,76.65722121016329,146.53306051022375,0.05077242851257324,40742.72498757425,223
StaticLinePlanner,300,17,2.0,3,88.97798941062912,170.51763404064556,0.06209087371826172,42359.94158445192,251
StaticLinePlanner,300,17,2.0,3,75.83104426542018,144.99769591675414,0.06652688980102539,43006.39615567159,205
StaticLinePlanner,300,17,2.0,3,79.31015279007286,151.43454116254838,0.05752754211425781,42947.25262127032,213
StaticLinePlanner,300,17,2.0,3,79.96146513838029,156.32121602249293,0.06121230125427246,41576.706555035315,236
StaticLinePlanner,300,17,2.0,3,71.00002535133697,134.0305090797688,0.07870078086853027,42347.86560758814,198
StaticLinePlanner,300,17,2.0,3,84.78208792916882,164.39887324932724,0.06672406196594238,41853.89069093573,241
StaticLinePlanner,300,17,2.0,3,66.3123708894338,125.5844941562952,0.059599876403808594,41117.94168758898,196
StaticLinePlanner,300,17,2.0,3,83.19326986740006,157.96439279755984,0.05025482177734375,42707.443523910566,229
StaticLinePlanner,300,17,2.0,3,86.81507000913197,169.16810569864992,0.05007672309875488,41139.57022114347,260
StaticLinePlanner,300,17,2.0,3,87.10564787965265,170.11398263933563,0.05659794807434082,42103.8976950584,257
StaticLinePlanner,300,17,2.0,3,71.28072593492853,138.6133132193399,0.05662965774536133,41443.55363247185,209
StaticLinePlanner,300,17,2.0,3,81.7384374167661,157.99250578058445,0.06373977661132812,42347.40592746762,226
StaticLinePlanner,300,17,2.0,3,71.83445771832609,131.83496675585516,0.057530879974365234,42216.51809289679,195
StaticLinePlanner,300,17,2.0,3,69.5862530218868,128.98799838527526,0.06519722938537598,42566.647331420274,196
StaticLinePlanner,300,17,2.0,3,82.56946585888628,162.23368324858248,0.0667576789855957,40645.425161252664,247
