planner,num_agents,num_robots,f,d,sigma,active_time,planner_time,damage,num_disabled
StochasticIterativePlanner,300,5,1.1,5,1,281.8235923634566,1.8853325843811035,73200.01498421797,13.827
StochasticIterativePlanner,300,5,1.1,5,1,285.9633240057011,0.6458430290222168,72959.45728570281,14.999000000000002
StochasticIterativePlanner,300,5,1.1,5,1,283.4241513810863,0.891772985458374,72524.14051881501,14.348
StochasticIterativePlanner,300,5,1.1,5,1,283.72399995058504,0.6500372886657715,73644.3298187641,13.250000000000004
StochasticIterativePlanner,300,5,1.1,5,1,285.7938801497688,0.6500310897827148,72749.08146208437,15.956000000000001
StochasticIterativePlanner,300,5,1.2,5,1,278.75446492412976,1.1436071395874023,70739.46062584197,27.705999999999996
StochasticIterativePlanner,300,5,1.2,5,1,274.515166667418,1.1616716384887695,70488.1385997817,27.563999999999997
StochasticIterativePlanner,300,5,1.2,5,1,276.3567491216555,1.295243501663208,69791.19018664226,31.054000000000002
StochasticIterativePlanner,300,5,1.2,5,1,269.1095550093423,1.12642240524292,70925.7698575271,28.313999999999993
StochasticIterativePlanner,300,5,1.2,5,1,274.0077298309048,1.1560373306274414,69920.93846419784,32.05799999999999
StochasticIterativePlanner,300,5,1.3,5,1,259.65113912521093,1.4808919429779053,68525.52194853965,39.24600000000001
StochasticIterativePlanner,300,5,1.3,5,1,261.8136447821025,1.8508782386779785,67993.42939851881,41.71900000000001
StochasticIterativePlanner,300,5,1.3,5,1,256.1406614290951,1.6299920082092285,67514.33157231373,41.685000000000024
StochasticIterativePlanner,300,5,1.3,5,1,260.8987230272824,1.2903664112091064,68623.74806517333,40.614000000000026
StochasticIterativePlanner,300,5,1.3,5,1,266.2159025880512,1.6398158073425293,67191.0050457966,46.32099999999998
StochasticIterativePlanner,300,5,1.4,5,1,255.9272429580467,2.0838544368743896,66200.69230717618,53.22999999999999
StochasticIterativePlanner,300,5,1.4,5,1,259.77179088653224,2.266709566116333,65836.16966897121,53.93899999999997
StochasticIterativePlanner,300,5,1.4,5,1,259.6165381263926,2.5162594318389893,65502.42013556418,53.42299999999998
