planner,num_agents,num_robots,f,d,completion_time,planner_time,damage,num_disabled
Additive50StaticLackPlanner,300,2,2.0,5,295.5770428910591,0.27118945121765137,73654.09499295251,68
Additive50StaticLackPlanner,300,2,2.0,5,296.76046444820435,0.3277866840362549,72920.71783031903,72
Additive50StaticLackPlanner,300,2,2.0,5,295.26862027715583,0.3956296443939209,72815.73973561346,69
Additive50StaticLackPlanner,300,2,2.0,5,298.69490159245663,0.25544285774230957,74008.3374940793,73
Additive50StaticLackPlanner,300,2,2.0,5,295.7856544011914,0.33353328704833984,73096.09114045883,71
Additive50StaticLackPlanner,300,2,2.0,5,296.7297433494466,0.3002629280090332,73710.29203122116,70
Additive50StaticLackPlanner,300,2,2.0,5,295.0343496967003,0.3500192165374756,73547.49707848665,80
Additive50StaticLackPlanner,300,2,2.0,5,295.37392958591556,0.33641958236694336,73328.03658023494,67
Additive50StaticLackPlanner,300,2,2.0,5,293.8001673110918,0.38237762451171875,72537.19187907809,74
Additive50StaticLackPlanner,300,2,2.0,5,296.75952395737613,0.35094594955444336,73103.67661634734,72
Additive50StaticLackPlanner,300,2,2.0,5,296.93948306027045,0.3824887275695801,72678.25623445111,73
Additive50StaticLackPlanner,300,2,2.0,5,295.1113393680611,0.33411073684692383,73018.06685091379,55
Additive50StaticLackPlanner,300,2,2.0,5,292.56998662630286,0.4919722080230713,72732.36978310188,65
Additive50StaticLackPlanner,300,2,2.0,5,295.35168023381647,0.38704919815063477,73382.17614650901,67
Additive50StaticLackPlanner,300,2,2.0,5,294.4124367272807,0.2998039722442627,72911.38922154249,64
Additive50StaticLackPlanner,300,2,2.0,5,295.3457615374578,0.42258405685424805,72902.79777824163,67
Additive50StaticLackPlanner,300,2,2.0,5,296.5424265207416,0.39820194244384766,73535.31720484816,73
Additive50StaticLackPlanner,300,2,2.0,5,292.38509999046937,0.904921293258667,73958.13692046229,60
Additive50StaticLackPlanner,300,2,2.0,5,297.39998572354585,0.6167047023773193,73106.03724849298,71
Additive50StaticLackPlanner,300,2,2.0,5,298.84728519669625,0.31236863136291504,73906.06541256234,69
Additive50StaticLackPlanner,300,2,2.0,5,295.9200685141524,0.47914934158325195,72974.49373912526,69
Additive50StaticLackPlanner,300,2,2.0,5,296.385613394775,0.29428601264953613,73515.03231154148,63
Additive50StaticLackPlanner,300,2,2.0,5,296.51044830040985,0.40003442764282227,73158.8221743742,76
Additive50StaticLackPlanner,300,2,2.0,5,296.7781427830906,0.32459068298339844,73237.32005049418,75
Additive50StaticLackPlanner,300,2,2.0,5,295.70898969159697,0.5187242031097412,71816.87729969052,77
Additive50StaticLackPlanner,300,2,2.0,5,293.2184653106882,0.2633652687072754,73807.81102408655,55
Additive50StaticLackPlanner,300,2,2.0,5,295.38091122358037,0.3231043815612793,73970.17625776769,70
Additive50StaticLackPlanner,300,2,2.0,5,295.90393309169434,0.3418745994567871,72656.03730616232,70
Additive50StaticLackPlanner,300,2,2.0,5,295.15908603769947,0.30502891540527344,73567.00287358265,63
Additive50StaticLackPlanner,300,2,2.0,5,296.2565995171428,0.35822439193725586,73504.7467417965,71
Additive50StaticLackPlanner,300,3,2.0,5,295.53251715901257,0.49901866912841797,73396.64377817982,94
Additive50StaticLackPlanner,300,3,2.0,5,296.9358931520328,0.6489593982696533,71886.79277027489,97
Additive50StaticLackPlanner,300,3,2.0,5,295.6768910040207,0.5968892574310303,72261.48192307947,97
Additive50StaticLackPlanner,300,3,2.0,5,298.6067827825857,0.4000067710876465,73909.38741590099,73
Additive50StaticLackPlanner,300,3,2.0,5,296.39177212893236,0.46242189407348633,72885.00716743706,92
Additive50StaticLackPlanner,300,3,2.0,5,297.90618903000336,0.5704092979431152,73228.70126613165,91
Additive50StaticLackPlanner,300,3,2.0,5,297.64342920722913,0.7207558155059814,72808.316300412,103
Additive50StaticLackPlanner,300,3,2.0,5,296.1955329978794,0.5294187068939209,72520.56574092814,98
Additive50StaticLackPlanner,300,3,2.0,5,295.09743249036745,0.5435304641723633,72461.49027133583,91
Additive50StaticLackPlanner,300,3,2.0,5,295.938438026152,0.7405829429626465,72377.79325353561,94
Additive50StaticLackPlanner,300,3,2.0,5,293.66848770919415,0.5665910243988037,72038.55544362485,83
Additive50StaticLackPlanner,300,3,2.0,5,295.025473883612,0.6112837791442871,72108.80841387702,88
Additive50StaticLackPlanner,300,3,2.0,5,295.44070767608673,0.4321761131286621,72650.20110626741,82
Additive50StaticLackPlanner,300,3,2.0,5,293.77648353666103,0.8501214981079102,72559.72796112022,79
Additive50StaticLackPlanner,300,3,2.0,5,298.00206394608466,1.5439319610595703,72783.36059667081,88
Additive50StaticLackPlanner,300,3,2.0,5,296.69171503510535,0.4501488208770752,72358.60299507865,78
Additive50StaticLackPlanner,300,3,2.0,5,297.2271262207582,0.6190803050994873,73011.58865641878,95
Additive50StaticLackPlanner,300,3,2.0,5,297.447087628182,0.5202007293701172,73273.11036600785,94
Additive50StaticLackPlanner,300,3,2.0,5,296.2600471712113,0.48070549964904785,72773.14900922742,87
Additive50StaticLackPlanner,300,3,2.0,5,297.35135837490486,0.38712596893310547,73421.86655908942,80
Additive50StaticLackPlanner,300,3,2.0,5,295.11365435359363,0.5573704242706299,72928.36084383892,81
Additive50StaticLackPlanner,300,3,2.0,5,294.84256409006406,0.6073191165924072,72448.56087435364,89
Additive50StaticLackPlanner,300,3,2.0,5,296.7138209366248,0.6295132637023926,73144.60011263423,92
Additive50StaticLackPlanner,300,3,2.0,5,289.48045781501827,0.6687493324279785,73051.92446601011,77
Additive50StaticLackPlanner,300,3,2.0,5,297.922208520897,0.5578858852386475,71790.27945698642,104
Additive50StaticLackPlanner,300,3,2.0,5,299.33899957044775,0.4567561149597168,73617.25482374005,82
Additive50StaticLackPlanner,300,3,2.0,5,296.6664513844468,0.7107224464416504,72934.48358066221,102
Additive50StaticLackPlanner,300,3,2.0,5,293.57277362609904,0.783318281173706,72029.18947638563,97
Additive50StaticLackPlanner,300,3,2.0,5,296.7098215361898,0.5111005306243896,72914.27627280002,92
Additive50StaticLackPlanner,300,3,2.0,5,297.3375875870238,0.43100547790527344,73239.00276189038,76
