planner,num_agents,num_robots,f,d,completion_time,planner_time,damage,num_disabledIterativeAssignmentPlanner,50,10,1.1,5,266.2426349671643,0.0,4342.821520294628,6
IterativeAssignmentPlanner,50,10,2.0,5,114.99258852583208,0.01451873779296875,3380.3862551543784,50
IterativeAssignmentPlanner,50,10,2.0,5,116.48654986999382,0.016024351119995117,2824.977650790355,50
IterativeAssignmentPlanner,50,10,2.0,5,129.94976236004538,0.01651477813720703,3563.4603052883494,50
IterativeAssignmentPlanner,50,10,2.0,5,125.73414533935025,0.012506723403930664,3124.969643941804,50
IterativeAssignmentPlanner,50,10,2.0,5,131.69537041161206,0.015624046325683594,2973.977207922426,50
IterativeAssignmentPlanner,100,10,2.0,5,129.0202789418446,0.04687142372131348,6386.280894615664,100
IterativeAssignmentPlanner,100,10,2.0,5,126.02678506261843,0.04687166213989258,6125.127496268213,100
IterativeAssignmentPlanner,100,10,2.0,5,123.4087615371464,0.04717564582824707,6250.628978662869,100
IterativeAssignmentPlanner,100,10,2.0,5,134.51262243058196,0.049762725830078125,6121.433767767506,100
IterativeAssignmentPlanner,100,10,2.0,5,158.8121654665662,0.04552102088928223,6345.032734128134,100
IterativeAssignmentPlanner,200,10,2.0,5,180.55961218299626,0.18337798118591309,15501.331888441357,200
IterativeAssignmentPlanner,200,10,2.0,5,143.38995102011137,0.20325207710266113,13463.287663857502,200
IterativeAssignmentPlanner,200,10,2.0,5,157.56777239898216,0.2122025489807129,14287.104751961704,200
IterativeAssignmentPlanner,200,10,2.0,5,171.69998014554324,0.20588183403015137,14110.955624981212,200
IterativeAssignmentPlanner,200,10,2.0,5,160.32768691690936,0.20308899879455566,14494.338153887045,200
IterativeAssignmentPlanner,300,10,2.0,5,196.47506070881812,0.3666269779205322,23264.843292707617,300
IterativeAssignmentPlanner,300,10,2.0,5,197.0346639873138,0.4465649127960205,24774.338833123977,300
IterativeAssignmentPlanner,300,10,2.0,5,190.88407896972697,0.48323893547058105,23006.889898086472,300
IterativeAssignmentPlanner,300,10,2.0,5,198.17564145229582,0.4113187789916992,24515.98238277019,300
IterativeAssignmentPlanner,300,10,2.0,5,192.27224325243247,0.47461724281311035,23347.335640655874,300
IterativeAssignmentPlanner,400,10,2.0,5,201.1443070017088,0.7512249946594238,32710.20189038872,400
IterativeAssignmentPlanner,400,10,2.0,5,196.08145485997665,0.8047647476196289,34262.86464666236,400
IterativeAssignmentPlanner,400,10,2.0,5,200.96677710966037,0.7291078567504883,33785.914592649104,400
IterativeAssignmentPlanner,400,10,2.0,5,201.11289707375204,0.729154109954834,32928.50534360903,400
IterativeAssignmentPlanner,400,10,2.0,5,200.98805842640598,0.715543270111084,34346.857870600215,400
IterativeAssignmentPlanner,500,10,2.0,5,195.7446562551719,1.1994965076446533,43441.210660904675,500
IterativeAssignmentPlanner,500,10,2.0,5,204.8583758700857,1.7880358695983887,45355.85124137993,500
IterativeAssignmentPlanner,500,10,2.0,5,192.100591031352,1.2400975227355957,43260.591467957194,500
IterativeAssignmentPlanner,500,10,2.0,5,207.685439532398,1.1168880462646484,45044.54286998212,500
IterativeAssignmentPlanner,500,10,2.0,5,205.09142539763442,1.3923759460449219,45854.43278898873,500
IterativeAssignmentPlanner,600,10,2.0,5,205.30917528182835,1.7374029159545898,54772.42639413115,600
IterativeAssignmentPlanner,600,10,2.0,5,202.28861916912828,2.0519320964813232,56408.08345507724,600
IterativeAssignmentPlanner,600,10,2.0,5,220.59630302063005,2.1479527950286865,58873.65345358358,600
IterativeAssignmentPlanner,600,10,2.0,5,206.10624081838577,1.803863525390625,54746.51452023303,600
IterativeAssignmentPlanner,600,10,2.0,5,200.75896356361977,2.046349048614502,58353.612548284,600
IterativeAssignmentPlanner,700,10,2.0,5,207.0127986745596,2.565049886703491,70860.97682571047,697
IterativeAssignmentPlanner,700,10,2.0,5,227.0812650757972,2.6299245357513428,72659.32590076525,700
IterativeAssignmentPlanner,700,10,2.0,5,222.993472902211,6.738651275634766,71039.66180132932,694
IterativeAssignmentPlanner,700,10,2.0,5,204.96284212304133,9.28430986404419,66529.58942929578,700
IterativeAssignmentPlanner,700,10,2.0,5,216.93467493901554,7.398340225219727,69152.22733653746,700
IterativeAssignmentPlanner,800,10,2.0,5,218.31754671521767,6.341890811920166,84238.02650829076,771
IterativeAssignmentPlanner,800,10,2.0,5,209.05724984542906,4.560980558395386,84509.61099204964,799
IterativeAssignmentPlanner,800,10,2.0,5,210.93548926332414,4.335538625717163,87523.65403697168,774
IterativeAssignmentPlanner,800,10,2.0,5,215.40837826862636,4.406874418258667,79840.05461454815,796
IterativeAssignmentPlanner,800,10,2.0,5,215.17263777846168,4.890690803527832,85736.76489494133,792
IterativeAssignmentPlanner,900,10,2.0,5,210.99210994417797,7.232424020767212,96852.23965960981,876
IterativeAssignmentPlanner,900,10,2.0,5,220.86405511839808,6.553768634796143,94636.3246469849,886
IterativeAssignmentPlanner,900,10,2.0,5,209.32532419119778,4.478657484054565,94817.6601368129,891
IterativeAssignmentPlanner,900,10,2.0,5,206.40461294122704,3.819833993911743,91982.11671614135,888
IterativeAssignmentPlanner,900,10,2.0,5,214.93643782902797,3.643906354904175,100088.41023113752,868
IterativeAssignmentPlanner,1000,10,2.0,5,214.42958473879742,4.246562242507935,109499.50779355023,960
IterativeAssignmentPlanner,1000,10,2.0,5,220.6037055435164,4.508418560028076,120147.2718173939,893
IterativeAssignmentPlanner,1000,10,2.0,5,214.73674801490745,4.458443641662598,109314.54410044379,967
