planner,num_agents,num_robots,f,d,completion_time,planner_time,damage,num_disabled
BottomUpScannerPlanner,300,10,1.1,5,277.624791449095,0.007236003875732422,69713.35961715766,51
BottomUpScannerPlanner,300,10,1.1,5,274.8430738542994,0.006406307220458984,69756.83873037409,41
BottomUpScannerPlanner,300,10,1.1,5,277.1747334575804,0.006328105926513672,68691.17319039327,55
BottomUpScannerPlanner,300,10,1.1,5,283.2470332928911,0.005769014358520508,71628.0479430696,45
BottomUpScannerPlanner,300,10,1.1,5,276.95233051060757,0.0062830448150634766,68240.86361549697,67
BottomUpScannerPlanner,300,10,1.1,5,275.3964331857981,0.006268978118896484,67589.79564463404,68
BottomUpScannerPlanner,300,10,1.1,5,279.1780304720066,0.006295204162597656,67274.66092391044,68
BottomUpScannerPlanner,300,10,1.1,5,277.362522227968,0.0059108734130859375,68960.46595178428,55
BottomUpScannerPlanner,300,10,1.1,5,274.1759780422039,0.006026029586791992,68344.84302655811,59
BottomUpScannerPlanner,300,10,1.1,5,272.2849173502769,0.00616002082824707,67077.3734601264,74
BottomUpScannerPlanner,300,10,1.3,5,239.2176046152835,0.008086204528808594,50943.244088081046,186
BottomUpScannerPlanner,300,10,1.3,5,241.84796575888652,0.007838964462280273,54148.65304593309,175
BottomUpScannerPlanner,300,10,1.3,5,237.2038992666127,0.00838923454284668,50510.290493082925,182
BottomUpScannerPlanner,300,10,1.3,5,241.33993763070328,0.00815582275390625,55086.86817161851,172
BottomUpScannerPlanner,300,10,1.3,5,239.20225655165095,0.007979869842529297,50752.062953544424,168
BottomUpScannerPlanner,300,10,1.3,5,237.90954938931915,0.0083770751953125,49877.10306476796,187
BottomUpScannerPlanner,300,10,1.3,5,238.60164654620272,0.008292913436889648,50592.383492769535,180
BottomUpScannerPlanner,300,10,1.3,5,232.6827213736334,0.009215831756591797,50319.22350974611,184
BottomUpScannerPlanner,300,10,1.3,5,238.33683372154889,0.0087890625,51901.165253773754,186
BottomUpScannerPlanner,300,10,1.3,5,234.83944816474533,0.008411884307861328,49285.04982826608,186
BottomUpScannerPlanner,300,10,1.5,5,208.27095050040887,0.010978937149047852,36935.150664479945,267
BottomUpScannerPlanner,300,10,1.5,5,211.00547452333905,0.010393857955932617,39744.31161032814,273
BottomUpScannerPlanner,300,10,1.5,5,207.42960249510753,0.010745048522949219,37003.154465063446,275
BottomUpScannerPlanner,300,10,1.5,5,212.60801938743796,0.014130830764770508,41166.68864585896,261
BottomUpScannerPlanner,300,10,1.5,5,208.68662347168632,0.011099815368652344,38023.38721110177,268
