planner,num_agents,num_robots,f,d,active_time,completion_time,planner_time,damage,num_disabled
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,160.27524659101323,48.85748815536499,48291.11041391836,12
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,142.71391649391728,46.81648874282837,48308.30177559817,14
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,113.0321121316104,45.6019172668457,48573.97093236973,7
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,122.60921696802629,49.780566692352295,47965.33380145106,12
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,160.82877215489728,46.204447507858276,48072.41615810605,14
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,199.00080241507146,51.063315629959106,48070.43954347768,14
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,189.76532266138682,50.213749408721924,48379.37712601862,13
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,158.12087458289602,50.51769185066223,48118.900015088686,12
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,152.55435982686677,49.931556701660156,47962.3097468831,14
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,154.8565913611939,44.737213134765625,48537.70788322641,13
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,154.08462587605612,52.14764213562012,48312.02999334881,13
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,179.74022753069465,50.47795510292053,48167.25128488091,13
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,154.45646593138855,47.790865659713745,48450.02125792993,9
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,170.36161453376457,47.88111925125122,48416.10577965018,12
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,208.3253740772659,49.305633544921875,48534.52013600366,13
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,127.34416803027462,46.39385986328125,48061.86600405206,10
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,173.14380693614206,47.86217951774597,48547.646851773345,15
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,164.31087222430227,44.048449993133545,48710.038100833684,10
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,167.1204036847912,48.522958755493164,48192.99182312442,13
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,169.03464630476017,50.631760120391846,48262.8257845536,15
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,168.56458230551513,50.2854278087616,48229.238158660606,14
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,156.78091337132133,48.811867237091064,48334.77897263998,11
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,162.7789363919209,48.707512855529785,48685.59999212275,11
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,168.92375162506653,50.39317584037781,48386.24126411664,11
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,186.44836475515046,51.897627115249634,47677.24523651338,12
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,143.80805721584503,50.36372995376587,48313.79147101826,9
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,124.24404984626358,45.10369324684143,48506.461090476274,11
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,181.2264178109897,53.73255205154419,47633.2988838217,19
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,205.27556502439828,47.032097816467285,48808.227987469174,13
Practical100StaticLineLackPlanner,200,5,1.1,5,-1,197.22610405820575,43.07102942466736,48861.43025927253,10
Practical100StaticLineLackPlanner,200,5,1.2,5,-1,179.81706696228682,50.276074171066284,46995.5093016302,25
Practical100StaticLineLackPlanner,200,5,1.2,5,-1,150.42611589191787,50.4230477809906,47072.003058213435,23
