planner,num_agents,num_robots,f,d,active_time,completion_time,planner_time,damage,num_disabled
StaticLinePlanner,300,10,1.1,5,181.9210139682414,190.20365481868595,0.046872615814208984,71890.24118678836,30
StaticLinePlanner,300,10,1.1,5,178.6415655503711,185.78984714262324,0.047254085540771484,71433.95343535817,31
StaticLinePlanner,300,10,1.1,5,154.71776700508377,164.00876928272817,0.06308937072753906,71263.1323596327,26
StaticLinePlanner,300,10,1.1,5,186.84169489582004,193.50249876950096,0.06245088577270508,72927.32566823858,22
StaticLinePlanner,300,10,1.1,5,194.43380510916987,204.66026390433322,0.057109832763671875,71279.22201344362,36
StaticLinePlanner,300,10,1.1,5,151.887460202389,160.27596859065602,0.05453300476074219,70886.23649803216,31
StaticLinePlanner,300,10,1.1,5,168.16860717208422,179.45231653151836,0.045203208923339844,70132.09435769836,42
StaticLinePlanner,300,10,1.1,5,159.21687664019203,166.63262587918732,0.06206679344177246,71715.21228870547,24
StaticLinePlanner,300,10,1.1,5,156.52119345497934,169.01613912498644,0.05956530570983887,70437.00984726366,32
StaticLinePlanner,300,10,1.1,5,162.44004144432893,173.9505315952628,0.050130605697631836,69899.30544660048,40
StaticLinePlanner,300,10,1.1,5,179.07465843735136,188.27317294708845,0.059584617614746094,71106.59798043907,31
StaticLinePlanner,300,10,1.1,5,172.91374868019062,179.4026270953164,0.06255865097045898,71139.15071361096,30
StaticLinePlanner,300,10,1.1,5,196.19441080755044,205.5385094512706,0.06355738639831543,72451.37173452842,25
StaticLinePlanner,300,10,1.1,5,202.60144489965438,209.82963436479926,0.06262326240539551,73189.56692651892,18
StaticLinePlanner,300,10,1.1,5,189.65481584225222,200.98465681363214,0.059563636779785156,71306.5359173765,35
StaticLinePlanner,300,10,1.1,5,183.28446973277565,192.75147081187674,0.05001020431518555,71873.77722410916,24
StaticLinePlanner,300,10,1.1,5,168.78173451438525,180.44698148753437,0.0644216537475586,70207.55879774426,44
StaticLinePlanner,300,10,1.1,5,157.62438521975346,170.6331848715697,0.06351661682128906,70115.04306914347,39
StaticLinePlanner,300,10,1.1,5,176.50682035246865,187.5932383484469,0.0484774112701416,70930.65500994789,32
StaticLinePlanner,300,10,1.1,5,206.025348728845,216.5521110696699,0.06229043006896973,72436.2356184773,33
StaticLinePlanner,300,10,1.1,5,145.55747405838105,157.12718271539833,0.06206703186035156,68767.52444837784,45
StaticLinePlanner,300,10,1.1,5,161.06675971903087,171.39639026911067,0.05705404281616211,71083.38037608212,31
StaticLinePlanner,300,10,1.1,5,168.12372259184173,180.7417575855698,0.05456686019897461,69675.16793441129,48
StaticLinePlanner,300,10,1.1,5,171.40273990273704,183.53214603287608,0.051888227462768555,69931.64855796454,45
StaticLinePlanner,300,10,1.1,5,179.54107687600956,188.94121210417137,0.04903125762939453,71153.3734292596,29
StaticLinePlanner,300,10,1.1,5,232.58910589563726,243.7907646071967,0.05003833770751953,73019.22995749356,35
StaticLinePlanner,300,10,1.1,5,192.80351258945805,200.3031518593476,0.05007815361022949,72091.00971281248,39
StaticLinePlanner,300,10,1.1,5,161.69136654657748,172.41022823207652,0.06383013725280762,70257.57805792376,34
StaticLinePlanner,300,10,1.1,5,187.1725381240429,199.06663740851604,0.04801774024963379,70762.4975485726,40
StaticLinePlanner,300,10,1.1,5,170.10448283724605,176.23387306782556,0.06303668022155762,73098.89059885277,16
StaticLinePlanner,300,10,1.2,5,159.0377239684279,180.8994615936442,0.06557655334472656,66854.4664962456,70
StaticLinePlanner,300,10,1.2,5,168.93280787865902,192.06594889007155,0.06684350967407227,67961.62689281769,65
StaticLinePlanner,300,10,1.2,5,162.99393160437495,189.584452178918,0.05550718307495117,65871.95006922635,81
StaticLinePlanner,300,10,1.2,5,160.55131843390498,180.40072971943448,0.058551788330078125,67862.35053682003,62
StaticLinePlanner,300,10,1.2,5,150.43521397140395,171.1516186633558,0.061129093170166016,64665.06484300155,78
StaticLinePlanner,300,10,1.2,5,125.2413184437941,143.35207655145194,0.06355404853820801,64723.853276373135,67
StaticLinePlanner,300,10,1.2,5,127.66879476831313,147.26520727609318,0.06371808052062988,64964.86075017567,67
StaticLinePlanner,300,10,1.2,5,123.19964230321506,139.19286161806784,0.05009269714355469,66723.81389337161,51
StaticLinePlanner,300,10,1.2,5,128.44291191354156,150.70328306909616,0.049842119216918945,65380.91749373624,62
StaticLinePlanner,300,10,1.2,5,126.37150624001158,146.66958400551536,0.05820798873901367,63775.39726415375,73
StaticLinePlanner,300,10,1.2,5,147.25508919114145,167.9360726816851,0.0479886531829834,66134.24066294543,64
StaticLinePlanner,300,10,1.2,5,150.42355130165228,169.69071873651882,0.04721236228942871,66584.90095772147,63
StaticLinePlanner,300,10,1.2,5,146.8769509259372,165.7294808317255,0.05009174346923828,67851.6979327074,52
StaticLinePlanner,300,10,1.2,5,156.67748271751466,174.42747210752353,0.05976295471191406,67913.66864337277,55
StaticLinePlanner,300,10,1.2,5,162.04397097321097,186.64822760536015,0.05703234672546387,66046.40653498964,77
StaticLinePlanner,300,10,1.2,5,169.45648336522467,194.49283923460274,0.05452895164489746,66468.80394089423,76
StaticLinePlanner,300,10,1.2,5,128.53917441750062,148.58551237021612,0.05204319953918457,64265.877021662876,74
StaticLinePlanner,300,10,1.2,5,154.412225543757,182.58395908036772,0.05022025108337402,65194.29917802449,85
StaticLinePlanner,300,10,1.2,5,138.05403121198296,158.70866468927983,0.06661367416381836,65909.74507141039,61
StaticLinePlanner,300,10,1.2,5,148.56656729164723,167.23046593016358,0.060143232345581055,67110.54809659766,61
StaticLinePlanner,300,10,1.2,5,139.08289123822374,163.97932129018938,0.0669260025024414,64186.3255359894,81
StaticLinePlanner,300,10,1.2,5,145.50993654634502,168.77909114071724,0.06092047691345215,65637.54312341692,72
StaticLinePlanner,300,10,1.2,5,139.33753278351523,162.8769812827783,0.0635828971862793,62528.716877758256,94
StaticLinePlanner,300,10,1.2,5,150.02005910415073,174.85120105675975,0.06669020652770996,65035.796165943684,81
StaticLinePlanner,300,10,1.2,5,129.68927210928825,146.91323217966436,0.06696844100952148,66115.8980624909,54
StaticLinePlanner,300,10,1.2,5,154.91043591660005,173.00792418451505,0.05630159378051758,67624.19634096258,58
StaticLinePlanner,300,10,1.2,5,168.15285325106214,189.82652723553724,0.04950141906738281,66754.94360414919,84
StaticLinePlanner,300,10,1.2,5,130.78790375890665,151.36732237827147,0.052541255950927734,65390.66767902087,62
StaticLinePlanner,300,10,1.2,5,132.1992077293345,150.7110297363461,0.04792499542236328,65423.20144428089,63
StaticLinePlanner,300,10,1.2,5,161.68278177447635,183.15892362036962,0.05701708793640137,67636.82485534521,64
StaticLinePlanner,300,10,1.3,5,133.89498650966974,164.04194305599592,0.06005406379699707,62551.64415831422,93
StaticLinePlanner,300,10,1.3,5,135.74623569639374,165.52235886380612,0.050074100494384766,63548.43015428435,85
StaticLinePlanner,300,10,1.3,5,125.92112276795424,157.4639067450998,0.05904817581176758,61136.70042238689,96
StaticLinePlanner,300,10,1.3,5,132.26468765806567,159.22352605476107,0.0614926815032959,63737.45173015822,82
