planner,num_agents,num_robots,f,d,completion_time,planner_time,damage,num_disabled
IterativeAssignmentPlanner,50,10,1.3,5,239.90898677116678,0.011744022369384766,9012.581093458255,31
IterativeAssignmentPlanner,50,10,1.3,5,239.999573340928,0.011725664138793945,8088.495945949888,36
IterativeAssignmentPlanner,50,10,1.3,5,236.42779678021978,0.011176109313964844,8482.905640941017,30
IterativeAssignmentPlanner,50,10,1.3,5,233.69156887778536,0.011684894561767578,7792.56735063159,32
IterativeAssignmentPlanner,50,10,1.3,5,236.4402941019529,0.01153111457824707,7663.716038640204,35
IterativeAssignmentPlanner,100,10,1.3,5,243.34602041964462,0.035314083099365234,16864.490179363413,65
IterativeAssignmentPlanner,100,10,1.3,5,240.38126785740837,0.037409067153930664,16628.955655509966,67
IterativeAssignmentPlanner,100,10,1.3,5,247.47673845415568,0.0353090763092041,16285.457254516332,63
IterativeAssignmentPlanner,100,10,1.3,5,239.46611191133326,0.03777503967285156,15593.681620488891,71
IterativeAssignmentPlanner,100,10,1.3,5,242.03952898996027,0.04633331298828125,15621.523536481827,67
IterativeAssignmentPlanner,200,10,1.3,5,247.5643175267019,0.13161396980285645,34999.89499231447,115
IterativeAssignmentPlanner,200,10,1.3,5,250.27691692543655,0.16619110107421875,33708.806182077285,121
IterativeAssignmentPlanner,200,10,1.3,5,241.464306152286,0.12632966041564941,34527.75964670908,116
IterativeAssignmentPlanner,200,10,1.3,5,246.30558141894969,0.1456599235534668,34016.37304087411,119
IterativeAssignmentPlanner,200,10,1.3,5,251.29306896910018,0.12019801139831543,33469.73046730944,112
IterativeAssignmentPlanner,300,10,1.3,5,250.90834099118567,0.2715151309967041,52700.584229981214,163
IterativeAssignmentPlanner,300,10,1.3,5,264.30659061915185,0.26377296447753906,54085.552892219304,158
IterativeAssignmentPlanner,300,10,1.3,5,248.71191256331784,0.3142101764678955,51804.76946881811,171
IterativeAssignmentPlanner,300,10,1.3,5,247.22831871246302,0.27085304260253906,54507.58398884762,163
IterativeAssignmentPlanner,300,10,1.3,5,254.5562958761809,0.24964690208435059,51387.66337344611,156
IterativeAssignmentPlanner,400,10,1.3,5,253.6329598359536,0.43786120414733887,71391.30398833883,213
IterativeAssignmentPlanner,400,10,1.3,5,254.6383415895879,0.44222497940063477,72279.6900972838,202
IterativeAssignmentPlanner,400,10,1.3,5,249.29001110269854,0.42535901069641113,72043.46696901298,207
IterativeAssignmentPlanner,400,10,1.3,5,253.2871086322758,0.48877787590026855,70564.44149713338,221
IterativeAssignmentPlanner,400,10,1.3,5,248.7982532837399,0.43798184394836426,70082.71240926735,197
IterativeAssignmentPlanner,500,10,1.3,5,255.28098093620846,0.6975250244140625,89630.49895606023,259
IterativeAssignmentPlanner,500,10,1.3,5,255.05818727026752,0.678889274597168,91979.26571863452,238
IterativeAssignmentPlanner,500,10,1.3,5,254.18140909908422,0.6630699634552002,92024.74241300186,250
IterativeAssignmentPlanner,500,10,1.3,5,252.4379565563833,0.7093477249145508,88831.54654204898,264
IterativeAssignmentPlanner,500,10,1.3,5,256.9702310031877,0.6271090507507324,91993.86448356541,237
IterativeAssignmentPlanner,600,10,1.3,5,260.52713164317925,0.9866209030151367,110817.1944701488,290
IterativeAssignmentPlanner,600,10,1.3,5,256.1015282778888,0.9446921348571777,109690.0543811155,288
IterativeAssignmentPlanner,600,10,1.3,5,258.36282005760967,0.9702470302581787,112139.18265280205,288
IterativeAssignmentPlanner,600,10,1.3,5,257.06430958797216,0.9607710838317871,108657.76953158928,295
IterativeAssignmentPlanner,600,10,1.3,5,258.1034473824655,0.8955018520355225,110666.28247414192,271
IterativeAssignmentPlanner,700,10,1.3,5,259.3932306630036,1.3198120594024658,131573.72626776557,317
IterativeAssignmentPlanner,700,10,1.3,5,256.5490351045425,1.1488640308380127,132633.76348166552,304
IterativeAssignmentPlanner,700,10,1.3,5,256.82275682456407,1.4273130893707275,132071.10362676837,318
IterativeAssignmentPlanner,700,10,1.3,5,257.91780731398194,1.209017038345337,130535.05128343629,324
IterativeAssignmentPlanner,700,10,1.3,5,258.2865105481847,1.2170581817626953,130966.32508565157,302
IterativeAssignmentPlanner,800,10,1.3,5,261.3665917071633,1.7928218841552734,153063.22043491644,341
IterativeAssignmentPlanner,800,10,1.3,5,264.24613763959013,1.6117420196533203,152183.4905395611,343
IterativeAssignmentPlanner,800,10,1.3,5,262.65872413209166,1.5692031383514404,155488.86716040032,345
IterativeAssignmentPlanner,800,10,1.3,5,261.8080456939653,1.6247599124908447,149854.15347588382,367
IterativeAssignmentPlanner,800,10,1.3,5,262.015814754228,1.487900972366333,153031.55932584248,332
IterativeAssignmentPlanner,900,10,1.3,5,262.43613086374194,1.9283697605133057,171029.54237406322,377
IterativeAssignmentPlanner,900,10,1.3,5,257.6537951998346,2.005505084991455,171999.3318932549,379
IterativeAssignmentPlanner,900,10,1.3,5,260.81421421173724,2.0063750743865967,172431.23841531697,375
IterativeAssignmentPlanner,900,10,1.3,5,261.76597962965326,2.180676221847534,168505.82085951773,406
IterativeAssignmentPlanner,900,10,1.3,5,271.2294461178601,1.8182640075683594,174944.45160380728,357
IterativeAssignmentPlanner,1000,10,1.3,5,260.8067771444505,2.5427348613739014,191663.66228964383,415
IterativeAssignmentPlanner,1000,10,1.3,5,264.3449691185091,2.236922025680542,198709.73039924825,378
IterativeAssignmentPlanner,1000,10,1.3,5,263.8724822026861,2.4020750522613525,195404.4955151514,407
IterativeAssignmentPlanner,1000,10,1.3,5,263.0935681411901,2.4251668453216553,189832.44095863623,429
IterativeAssignmentPlanner,1000,10,1.3,5,263.3207103592363,2.473613977432251,193489.5952859962,403
KmeansAssignmentPlanner,50,10,1.3,5,224.72304367366252,0.0639638900756836,8960.924133112634,27
KmeansAssignmentPlanner,50,10,1.3,5,221.852593401908,0.0672769546508789,8286.605801313524,32
KmeansAssignmentPlanner,50,10,1.3,5,232.7142972411351,0.07376909255981445,8376.106980696288,28
KmeansAssignmentPlanner,50,10,1.3,5,239.16346092955146,0.0842440128326416,7756.022763955878,31
KmeansAssignmentPlanner,50,10,1.3,5,236.8410477522687,0.06887698173522949,7779.438201135356,35
KmeansAssignmentPlanner,100,10,1.3,5,239.15098053563466,0.1417369842529297,16714.244804774786,64
KmeansAssignmentPlanner,100,10,1.3,5,240.78516629779807,0.12441205978393555,17106.574113175622,61
KmeansAssignmentPlanner,100,10,1.3,5,243.58225580654354,0.1270751953125,17064.474067523253,60
KmeansAssignmentPlanner,100,10,1.3,5,242.02149832978202,0.13023805618286133,16524.060636308794,65
KmeansAssignmentPlanner,100,10,1.3,5,232.47219536314236,0.13551688194274902,16903.567620218397,64
KmeansAssignmentPlanner,200,10,1.3,5,258.3518886832903,0.2545766830444336,36817.40936111909,109
KmeansAssignmentPlanner,200,10,1.3,5,250.22006473863962,0.26299309730529785,34676.586040299815,110
KmeansAssignmentPlanner,200,10,1.3,5,259.8524587860657,0.26316189765930176,37819.54871172309,101
KmeansAssignmentPlanner,200,10,1.3,5,266.8042626548803,0.2662670612335205,36863.01593946319,110
KmeansAssignmentPlanner,200,10,1.3,5,266.009549851306,0.26058316230773926,36383.39065665635,103
KmeansAssignmentPlanner,300,10,1.3,5,259.38005942067707,0.40861988067626953,56180.05306709356,150
KmeansAssignmentPlanner,300,10,1.3,5,266.8561041383971,0.3858170509338379,58110.15460822083,137
KmeansAssignmentPlanner,300,10,1.3,5,275.68378075776184,0.3921070098876953,59783.60409798466,139
KmeansAssignmentPlanner,300,10,1.3,5,268.1062748710546,0.39116406440734863,58873.98493044771,142
KmeansAssignmentPlanner,300,10,1.3,5,266.5384703247875,0.3770411014556885,57955.02697446973,132
KmeansAssignmentPlanner,400,10,1.3,5,259.21712101933963,0.6238007545471191,78354.28317312548,185
KmeansAssignmentPlanner,400,10,1.3,5,276.640863496805,0.5099301338195801,78555.70491235638,159
KmeansAssignmentPlanner,400,10,1.3,5,272.1461569167558,0.551138162612915,81617.81586056759,169
KmeansAssignmentPlanner,400,10,1.3,5,272.45340617312183,0.5718080997467041,78511.86885957977,182
KmeansAssignmentPlanner,400,10,1.3,5,271.9510859586228,0.5339701175689697,77736.67434890958,181
KmeansAssignmentPlanner,500,10,1.3,5,278.3189864606557,0.7441329956054688,100275.98661970694,208
KmeansAssignmentPlanner,500,10,1.3,5,265.0370988843267,0.6705081462860107,99431.04982297348,193
KmeansAssignmentPlanner,500,10,1.3,5,276.98708420031886,0.7260198593139648,104023.15417345421,184
KmeansAssignmentPlanner,500,10,1.3,5,276.14371850609797,0.7649061679840088,101612.78408510576,195
KmeansAssignmentPlanner,500,10,1.3,5,278.9061784253358,0.7069480419158936,103778.62033066986,174
